airport_id,data_header,src_addr,datis_time,start_time,weather_report,departure_runways,arrival_runways,timestamp_source_received,timestamp_source_processed,invalid_departure_runways,invalid_arrival_runways,departure_runway_string,arrival_runway_string,airport_configuration_name,file_type
KATL,AD ATL /OS DT0052,ATLATXA,2022-09-01 00:52:00,2022-09-01 00:52:00, 30006KT 10SM FEW250 26/16 A2999 (TWO NINER NINER NINER),"26L, 27R","26R, 27L, 28",2022-09-01 00:52:51,2022-09-01 00:52:51,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT RNAV OFF THE GROUND DEPTG RWY 26L, XPECT RNAV OFF THE GROUND DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","SIMULTANEOUS APCHS IN USE VIS 26R, ILS 27L, VIS 28.",D_26L_27R_A_26R_27L_28,configs
KATL,AD ATL /OS DX0152,ATLATXA,2022-09-01 01:53:00,2022-09-01 01:53:00, 31009KT 10SM FEW250 25/16 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27L, 28",2022-09-01 01:53:12,2022-09-01 01:53:12,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT RNAV OFF THE GROUND DEPTG RWY 26L, XPECT RNAV OFF THE GROUND DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","SIMULTANEOUS APCHS IN USE VIS 26R, ILS 27L, VIS 28.",D_26L_27R_A_26R_27L_28,configs
KATL,AD ATL /OS DY0152,ATLATXA,2022-09-01 02:06:00,2022-09-01 02:06:00, 31009KT 10SM FEW250 25/16 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27L, 28",2022-09-01 02:06:05,2022-09-01 02:06:05,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT RNAV OFF THE GROUND DEPTG RWY 26L, XPECT RNAV OFF THE GROUND DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","SIMULTANEOUS APCHS IN USE VIS 26R, ILS 27L, VIS 28.",D_26L_27R_A_26R_27L_28,configs
KATL,AD ATL /OS DZ0252,ATLATXA,2022-09-01 02:54:00,2022-09-01 02:54:00, 31006KT 10SM FEW060 FEW250 24/16 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27L, 28",2022-09-01 02:54:44,2022-09-01 02:54:44,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT RNAV OFF THE GROUND DEPTG RWY 26L, XPECT RNAV OFF THE GROUND DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","SIMULTANEOUS APCHS IN USE VIS 26R, ILS 27L, VIS 28.",D_26L_27R_A_26R_27L_28,configs
KATL,AD ATL /OS DN0252,ATLATXA,2022-09-01 03:32:00,2022-09-01 03:32:00, 31006KT 10SM FEW060 FEW250 24/16 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27R",2022-09-01 03:32:39,2022-09-01 03:32:39,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
KATL,AD ATL /OS DO0352,ATLATXA,2022-09-01 04:04:00,2022-09-01 04:04:00, 31005KT 10SM FEW060 FEW250 23/17 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27R",2022-09-01 04:04:59,2022-09-01 04:04:59,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
KATL,AD ATL /OS DP0352,ATLATXA,2022-09-01 04:06:00,2022-09-01 04:06:00, 31005KT 10SM FEW060 FEW250 23/17 A3001 (THREE ZERO ZERO ONE),"26L, 27R","26R, 27R",2022-09-01 04:06:20,2022-09-01 04:06:20,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
KATL,AD ATL /OS DQ0452,ATLATXA,2022-09-01 04:54:00,2022-09-01 04:54:00, 30004KT 10SM FEW060 23/17 A3000 (THREE ZERO ZERO ZERO),"26L, 27R","26R, 27R",2022-09-01 04:54:30,2022-09-01 04:54:30,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
KATL,AD ATL /OS DR0552,ATLATXA,2022-09-01 06:06:00,2022-09-01 06:06:00, 33004KT 10SM CLR 23/16 A3000 (THREE ZERO ZERO ZERO),"26L, 27R","26R, 27R",2022-09-01 06:06:50,2022-09-01 06:06:50,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
KATL,AD ATL /OS DS0652,ATLATXA,2022-09-01 06:53:00,2022-09-01 06:53:00, 00000KT 10SM CLR 22/17 A3000 (THREE ZERO ZERO ZERO),"26L, 27R","26R, 27R",2022-09-01 06:53:05,2022-09-01 06:53:05,,,"SIMUL DEPS, DEPG RWYS, 26L, 27R. XPECT INITIAL HEADING DEPTG RWY 26L, XPECT INITIAL HEADING DEPTG RWY 27R. GROUND CONTROL WILL ASSIGN RUNWAY WITH TAXI INSTRUCTIONS.","VISUAL APPROACH RWY 26R, VISUAL APPROACH RWY 27R.",D_26L_27R_A_26R_27R,configs
