airport_id,ref_time,interval_1_Arrival,interval_2_Arrival,interval_3_Arrival,interval_4_Arrival,interval_5_Arrival,interval_6_Arrival,interval_7_Arrival,interval_8_Arrival,interval_9_Arrival,interval_10_Arrival,interval_11_Arrival,interval_12_Arrival,interval_1_ETD,interval_2_ETD,interval_3_ETD,interval_4_ETD,interval_5_ETD,interval_6_ETD,interval_7_ETD,interval_8_ETD,interval_9_ETD,interval_10_ETD,interval_11_ETD,interval_12_ETD,interval_1_TFM,interval_2_TFM,interval_3_TFM,interval_4_TFM,interval_5_TFM,interval_6_TFM,interval_7_TFM,interval_8_TFM,interval_9_TFM,interval_10_TFM,interval_11_TFM,interval_12_TFM,interval_1_TBFM,interval_2_TBFM,interval_3_TBFM,interval_4_TBFM,interval_5_TBFM,interval_6_TBFM,interval_7_TBFM,interval_8_TBFM,interval_9_TBFM,interval_10_TBFM,interval_11_TBFM,interval_12_TBFM,temperature,wind_direction,wind_speed,wind_gust,cloud_ceiling,visibility,cloud,lightning_prob,precip,departure_runways,arrival_runways
KATL,2023-02-08 00:06:00,68,68,100,64,60,56,76,40,20,20,12,8,101,208,308,392,392,243,159,171,117,121,102,408,457,561,1729,1900,1464,1900,2653,1415,1092,925,494,228,340,569,1255,1128,1614,2263,4091,2134,1804,1064,669,210,60.0,15.0,4.0,0.0,8.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 00:53:00,64,56,60,76,40,16,16,12,8,16,36,16,406,406,189,184,158,130,93,140,442,490,416,219,1756,1395,2054,2629,1277,1321,685,385,221,454,1906,805,1027,1771,2609,3796,1939,1821,885,684,206,974,2932,882,60.0,15.0,4.0,0.0,8.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 01:52:00,36,16,20,12,8,16,36,16,16,24,8,16,169,100,123,120,434,507,403,243,93,99,13,38,1408,1119,879,442,216,406,1891,836,530,841,700,945,1899,1825,1015,658,230,912,2977,764,1424,1455,858,799,58.0,13.0,2.0,0.0,8.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 02:53:00,8,16,36,16,16,24,12,12,20,12,8,8,442,490,416,219,99,92,14,37,6,3,48,5,221,454,1906,805,610,757,689,932,446,725,212,453,206,974,2932,882,1385,1355,909,761,1342,1123,706,160,56.0,13.0,4.0,0.0,8.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 03:59:00,12,20,20,16,16,8,8,4,4,0,0,0,105,50,19,26,5,13,39,5,3,6,1,0,754,966,569,713,552,539,283,267,63,63,5,6,1035,1131,1385,1159,995,794,616,41,76,48,0,0,55.0,13.0,4.0,0.0,8.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 04:38:00,12,20,12,8,8,0,4,0,0,0,8,4,37,6,3,48,5,4,2,6,0,0,0,0,932,446,725,212,453,7,123,2,5,6,353,98,761,1342,1123,706,160,0,124,0,0,0,407,73,54.0,14.0,1.0,0.0,8.0,7.0,4.0,0.0,0.0,3,2
KATL,2023-02-08 05:08:00,12,8,8,0,4,0,0,0,8,4,0,0,3,48,5,4,2,6,0,0,0,0,0,0,725,212,453,7,123,2,5,6,353,98,0,0,1123,706,160,0,124,0,0,0,407,73,0,0,54.0,14.0,1.0,0.0,8.0,7.0,4.0,0.0,0.0,3,2
KATL,2023-02-08 05:38:00,8,0,4,0,0,0,8,4,0,0,8,0,5,4,2,6,0,0,0,0,0,0,0,0,453,7,123,2,5,6,353,98,0,0,81,121,160,0,124,0,0,0,407,73,0,0,328,0,54.0,14.0,4.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 06:06:00,4,0,0,0,8,4,0,0,8,0,4,0,2,5,1,0,0,0,0,0,0,0,0,0,122,1,6,6,315,137,0,0,53,149,38,23,124,0,0,0,407,73,0,0,328,0,57,0,54.0,14.0,4.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 06:53:00,0,8,4,0,0,8,0,4,0,4,4,12,0,0,0,0,0,0,0,0,0,11,13,1,6,353,98,0,0,81,121,43,18,61,111,479,0,407,73,0,0,328,0,57,0,124,14,1077,55.0,9.0,4.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 07:53:00,0,8,0,4,0,4,4,12,12,24,12,16,0,0,0,0,0,11,13,1,0,12,5,6,0,81,121,43,18,61,111,479,877,1129,713,922,0,328,0,57,0,124,14,1077,1711,3004,1207,1031,56.0,14.0,4.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 08:52:00,0,4,4,12,8,28,12,16,16,32,24,28,0,11,13,1,0,12,5,6,44,134,106,70,23,61,85,481,851,825,1043,920,1024,764,889,1049,0,112,19,881,1844,2911,1130,1245,1762,1041,911,1499,56.0,12.0,1.0,0.0,6.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 09:53:00,12,24,12,16,16,32,24,32,72,68,64,92,0,12,5,6,57,129,108,66,142,147,314,409,877,1129,713,922,1079,708,1006,1243,1730,1910,2074,2920,1711,3004,1207,1031,1940,1027,747,1515,3374,2235,3193,3311,55.0,12.0,1.0,0.0,6.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 10:53:00,16,32,24,32,72,68,64,92,100,72,116,72,57,129,108,66,142,147,314,409,234,157,289,228,1079,708,1006,1243,1730,1910,2074,2920,2564,1852,4002,3489,1940,1027,747,1515,3374,2235,3193,3311,3276,2896,7804,5482,56.0,10.0,1.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KATL,2023-02-08 11:31:00,28,48,76,60,84,112,60,104,100,44,24,56,89,104,108,315,308,317,137,279,277,166,437,328,939,1394,2308,1369,2989,2665,2001,3046,4110,1911,1278,1790,1119,1669,3555,2198,3875,3391,2197,6015,7612,2976,907,2997,56.0,11.0,2.0,0.0,6.0,7.0,4.0,0.0,0.0,2,3
KATL,2023-02-08 11:54:00,72,64,68,100,92,76,116,64,24,44,60,64,142,157,305,410,233,166,294,216,348,331,222,197,1814,1817,2133,2905,2469,2249,3821,3384,1203,1433,1664,2607,3492,2221,3262,3245,3297,3202,7717,5419,1224,1804,3656,3982,56.0,11.0,2.0,0.0,6.0,7.0,4.0,0.0,0.0,2,3
KATL,2023-02-08 12:23:00,64,92,100,72,116,72,20,48,56,60,56,32,314,409,234,157,289,228,330,325,226,198,411,514,2074,2920,2564,1852,4002,3489,1345,1310,1676,2592,1479,1476,3193,3311,3276,2896,7804,5482,1585,1771,3525,3968,2211,1813,56.0,11.0,2.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 12:56:00,84,88,112,60,20,48,60,64,52,24,28,52,197,198,322,162,371,384,145,222,505,443,321,273,2368,2634,3977,2812,1132,1615,1923,2334,1291,1595,883,1137,2846,4065,7968,4613,912,2348,3968,3067,2217,1575,1553,2008,56.0,14.0,2.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 13:24:00,116,64,24,44,60,64,48,32,32,44,56,48,294,216,348,331,222,197,404,510,370,258,257,311,3821,3384,1203,1433,1664,2607,1407,1506,886,1108,1811,1793,7717,5419,1224,1804,3656,3982,2059,1762,1385,1695,4038,1662,56.0,14.0,2.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 13:37:00,76,24,44,56,60,56,36,28,40,56,52,32,248,297,332,253,159,412,530,389,255,239,315,377,3628,1515,1284,1546,2643,1577,1497,824,1022,1975,1634,1072,5425,2120,1704,3352,4020,2153,2062,1312,1389,3617,2238,1464,58.0,12.0,3.0,0.0,7.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 13:44:00,44,20,56,56,64,52,20,32,56,56,36,44,160,390,378,127,261,543,419,287,281,278,338,360,2098,1251,1715,2044,2104,1305,1480,957,1208,2007,1390,995,3546,767,2936,4273,2535,2262,1144,1770,2212,3660,1706,1185,58.0,12.0,3.0,0.0,7.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 13:54:00,24,44,60,64,48,32,32,44,56,48,32,60,348,331,222,197,404,510,370,258,257,311,399,267,1203,1433,1664,2607,1407,1506,886,1108,1811,1793,896,1432,1224,1804,3656,3982,2059,1762,1385,1695,4038,1662,1404,2640,58.0,12.0,3.0,0.0,7.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 14:56:00,52,24,28,52,60,40,40,52,40,44,72,56,505,443,321,273,278,321,372,265,193,131,170,158,1291,1595,883,1137,1822,1624,940,1555,1145,1725,2139,2792,2217,1575,1553,2008,3925,1559,1394,2638,1684,2240,4401,3982,59.0,13.0,4.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 15:53:00,52,48,36,56,36,44,64,72,52,60,48,60,238,320,373,302,154,165,198,153,149,122,105,115,1885,1750,913,1417,1361,1549,1705,3093,2077,1838,2219,2854,3698,2027,1462,2628,1669,2032,4174,4704,2525,4184,3659,3366,62.0,15.0,5.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 15:54:00,56,48,32,60,36,48,60,68,60,52,48,64,257,311,399,267,186,138,192,154,159,121,134,78,1811,1793,896,1432,1313,1683,1853,2839,2092,1839,2362,2922,4038,1662,1404,2640,1661,2246,4243,4395,2579,4470,3405,3290,62.0,15.0,5.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 16:55:00,40,44,68,60,64,52,44,68,52,40,64,76,206,114,189,144,173,109,133,87,200,153,249,112,1180,1704,1999,2800,1971,1960,2411,2928,2663,1634,2929,2772,1572,2183,4471,4108,2784,4414,3562,3125,5035,4151,3295,7885,64.0,18.0,8.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 17:56:00,60,52,48,68,52,36,72,76,72,60,52,28,157,110,141,87,234,165,196,120,206,224,222,130,1784,2183,2383,2971,2499,1796,2849,2756,4048,1961,2454,1656,2933,4483,3556,3217,4865,4098,3554,7951,7652,3928,4183,2107,66.0,17.0,6.0,0.0,6.0,7.0,4.0,0.0,0.0,3,3
KATL,2023-02-08 18:53:00,56,36,72,68,72,64,56,32,52,68,60,56,197,151,216,143,157,270,215,108,235,282,291,254,2762,1740,2732,2845,3657,2725,2142,1803,2557,2679,1871,1861,4482,4359,3248,7446,8025,4156,4628,2379,3610,7653,2445,4253,69.0,17.0,8.0,0.0,6.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 19:52:00,72,60,60,36,44,72,60,56,64,60,48,64,163,261,218,113,241,282,291,243,108,121,105,211,3659,2748,2056,1923,2465,2428,2120,1916,3647,3143,2599,1986,8256,4593,4472,2470,3342,7863,2459,4180,4993,6717,5353,4066,70.0,15.0,7.0,0.0,7.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 20:54:00,52,72,60,56,64,64,44,68,88,120,84,32,242,270,278,250,104,116,116,268,314,149,138,55,2557,2822,1793,1912,3756,3242,2150,2254,3303,5528,3247,2263,3924,7494,2719,3867,5681,6423,4836,4443,7408,10264,7010,3099,72.0,16.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,3,3
KATL,2023-02-08 21:52:00,64,60,48,64,84,120,92,28,44,0,0,0,108,121,105,211,375,160,142,49,58,39,62,97,3647,3143,2599,1986,3410,4877,3749,2220,3394,1493,1559,2938,4993,6717,5353,4066,6682,10807,7271,1912,7229,2972,3892,7896,71.0,14.0,8.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KATL,2023-02-08 22:53:00,84,128,88,28,36,0,0,0,0,0,0,0,365,147,142,50,55,43,62,106,72,39,25,16,3408,5362,3391,2261,3182,1426,1649,2964,2843,951,714,251,7044,10581,7107,2135,7081,2744,4084,8216,7917,1562,1423,964,71.0,13.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KATL,2023-02-08 23:19:00,96,36,56,0,0,0,0,0,0,0,0,0,194,51,58,39,50,94,88,51,26,20,31,30,4090,2560,3239,2047,1498,2620,2882,1467,583,420,537,67,6921,3228,6978,3250,3000,7279,9436,2146,1765,702,438,100,71.0,13.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KATL,2023-02-08 23:28:00,64,52,8,0,0,0,0,0,0,0,0,0,112,59,57,29,86,95,73,27,19,28,33,16,2998,2834,2684,1525,1539,3297,2378,450,671,477,135,115,5995,4998,5108,2143,5784,8941,4889,1770,720,1083,107,103,71.0,13.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KATL,2023-02-08 23:52:00,44,0,0,0,0,0,0,0,0,0,0,0,58,39,62,97,82,42,25,16,33,29,14,13,3394,1493,1559,2938,2810,1081,733,225,483,72,88,123,7229,2972,3892,7896,8368,1725,1476,952,188,100,103,287,69.0,12.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 00:01:00,180,170,10,40,30,50,50,40,20,50,20,0,141,209,627,24,105,227,302,463,280,280,75,10,581,579,111,364,634,405,527,615,289,593,253,84,432,779,776,666,757,946,853,1280,247,1247,961,49,61.5,15.5,5.5,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 00:57:00,20,60,40,50,10,40,40,0,10,20,10,10,32,259,289,453,303,193,194,21,15,16,17,5,378,576,494,700,221,420,525,8,242,384,47,78,448,1206,698,1269,300,693,1655,54,490,671,144,0,54.0,19.0,5.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 01:53:00,10,30,50,10,10,10,20,0,30,10,10,0,465,223,237,20,19,7,28,4,1,0,0,17,317,251,612,131,243,83,347,12,345,173,139,22,712,385,1745,317,490,207,608,0,542,179,221,0,52.0,21.0,4.0,0.0,8.0,7.0,2.0,0.0,0.0,2,3
KCLT,2023-02-08 02:29:00,30,0,10,20,10,20,10,10,10,0,0,10,82,18,15,18,15,5,0,0,17,0,0,0,419,69,179,418,13,189,169,254,73,9,3,53,1425,22,490,674,141,55,492,271,124,0,0,66,52.0,21.0,4.0,0.0,8.0,7.0,2.0,0.0,0.0,1,2
KCLT,2023-02-08 02:58:00,10,20,10,10,20,10,10,0,0,10,0,0,15,16,17,5,0,0,17,0,0,0,0,3,238,418,13,104,254,249,78,9,3,53,106,0,490,671,144,21,526,265,130,0,0,7,285,0,52.0,21.0,4.0,0.0,8.0,7.0,2.0,0.0,0.0,1,2
KCLT,2023-02-08 05:11:00,0,10,0,0,0,0,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,12,147,0,0,1,26,55,0,0,0,0,2,0,292,0,0,0,0,111,0,0,0,0,0,48.0,21.0,4.0,0.0,8.0,7.0,0.0,0.0,0.0,1,1
KCLT,2023-02-08 07:54:00,0,10,0,0,0,0,30,20,10,0,50,50,0,0,0,0,5,0,1,0,0,2,3,37,1,115,213,0,2,3,405,486,540,6,1224,1696,0,132,296,0,0,0,734,1185,615,0,2114,4506,44.0,21.0,1.0,0.0,8.0,7.0,2.0,0.0,0.0,1,1
KCLT,2023-02-08 09:15:00,10,30,20,0,10,70,20,20,30,0,10,70,1,0,0,0,3,7,38,35,50,23,69,117,36,660,440,300,221,1937,987,712,465,82,76,578,11,1399,991,133,68,4162,2798,1388,810,71,15,843,42.0,17.0,1.0,0.0,8.0,7.0,2.0,0.0,0.0,1,1
KCLT,2023-02-08 09:59:00,0,0,80,20,20,20,10,0,80,100,170,230,0,3,3,42,35,50,22,17,161,312,175,175,351,118,1869,1144,715,457,101,13,599,1386,2403,2383,374,29,3805,3194,1388,783,98,5,780,1983,3292,4657,42.0,20.0,2.0,0.0,8.0,7.0,4.0,0.0,0.0,1,1
KCLT,2023-02-08 10:56:00,20,20,10,0,50,100,180,210,160,30,40,70,35,41,23,19,90,353,196,141,217,611,5,16,720,434,123,6,427,1302,1902,2720,1491,253,528,848,1539,749,132,0,456,1987,3002,4696,2682,215,688,1308,41.0,19.0,3.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 11:53:00,20,100,170,200,190,50,30,70,50,90,150,210,77,242,246,148,260,618,24,15,44,680,332,264,149,1130,1950,2881,1555,405,401,803,816,1348,2403,2563,212,1336,3433,4308,3274,475,553,1066,1071,1509,3554,4216,43.0,19.0,3.0,0.0,8.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 12:53:00,190,50,30,70,50,90,150,210,170,40,60,50,260,618,24,15,44,680,332,264,467,152,325,45,1555,405,401,803,816,1348,2403,2563,1719,571,921,974,3274,475,553,1066,1071,1509,3554,4216,2897,695,1304,1221,46.0,21.0,3.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 13:54:00,40,100,160,200,160,50,50,60,50,60,130,180,65,686,324,249,463,265,212,45,104,610,294,426,721,1511,2403,2637,1523,615,840,1061,390,883,2009,1779,1061,1770,3440,4239,2880,559,1427,1170,860,1248,2501,2343,51.0,25.0,2.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 14:52:00,190,50,60,40,70,40,130,180,160,110,50,30,480,130,347,25,81,617,298,307,535,600,106,67,1907,608,943,934,513,714,1939,1933,1732,1118,534,745,2960,1007,1219,1249,920,881,2606,2423,2436,2095,675,2031,54.0,25.0,3.0,0.0,8.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 15:25:00,60,50,50,70,140,170,150,100,50,40,100,150,115,48,150,562,311,431,376,615,74,66,260,499,862,1094,302,1012,2018,1680,1757,1072,470,685,1843,2562,1321,1161,802,1303,2593,2267,2701,1781,553,2001,2534,3334,54.0,25.0,3.0,0.0,8.0,7.0,4.0,0.0,0.0,1,2
KCLT,2023-02-08 15:54:00,50,60,130,180,160,100,50,30,100,150,180,120,104,610,294,426,398,608,83,66,173,558,474,445,390,883,2009,1779,1716,1131,453,743,1607,2602,2181,1278,860,1248,2501,2343,2654,1862,535,2062,2398,3343,3330,2603,61.0,25.0,2.0,0.0,8.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 16:54:00,160,100,50,30,100,150,180,120,60,70,50,130,398,608,83,66,173,558,474,445,376,9,127,632,1716,1131,453,743,1607,2602,2181,1278,1123,948,669,1668,2654,1862,535,2062,2398,3343,3330,2603,2232,1059,1193,2359,65.0,24.0,5.0,0.0,8.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 17:33:00,40,70,140,170,160,60,70,60,100,120,170,160,85,128,317,448,478,522,145,98,477,432,502,272,529,1166,2183,2528,1868,794,1034,940,1380,1315,2650,1972,1074,2316,3106,3681,2872,2420,1203,1475,1761,2126,4533,3786,67.0,25.0,5.0,0.0,7.0,7.0,4.0,0.0,0.0,2,2
KCLT,2023-02-08 17:59:00,120,160,170,80,70,60,80,130,150,160,180,120,322,492,466,417,324,18,443,478,498,331,53,46,2347,2446,2007,697,1267,975,1170,1278,2512,2220,1765,1314,2861,3736,3365,2000,1718,1479,1114,2394,4276,3752,3183,2261,67.0,25.0,5.0,0.0,7.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 18:54:00,60,70,50,130,130,180,160,150,50,110,130,160,376,9,127,632,610,333,82,69,218,142,239,750,1123,948,669,1668,1826,2561,1877,1572,998,2642,2554,1958,2232,1059,1193,2359,3526,3649,3440,3135,637,5270,5440,3185,70.0,24.0,5.0,0.0,7.0,7.0,4.0,0.0,0.0,2,3
KCLT,2023-02-08 19:53:00,130,180,170,140,50,100,150,140,170,120,100,80,600,350,87,62,225,137,235,291,826,229,350,125,1703,2657,1844,1629,919,2682,2579,1840,2274,1868,1896,1877,2987,3957,3587,3116,748,4677,5776,3414,3283,3415,2878,2427,70.0,25.0,5.0,0.0,7.0,7.0,3.0,0.0,0.0,2,3
KCLT,2023-02-08 20:52:00,70,100,140,140,160,130,110,80,130,100,120,170,224,138,217,293,816,258,349,120,115,168,341,246,959,2736,2469,1971,2255,1932,1842,1844,1206,2242,2018,3097,1063,4402,5771,3532,3198,3648,2866,2202,2821,2393,3142,6734,69.0,24.0,4.0,0.0,7.0,7.0,3.0,0.0,0.0,2,3
