station,datetime,cor,auto,weather,temperature,dewpoint,date_time,cloud_layers,visibility_meters,wind_speed_mps,pressure
AGGH,010000Z,,False,SCT,,,2022-09-01 00:00:00+00:00,[],9999.0,4.63,
AGGH,010000Z,,False,SCT,,,2022-09-01 00:00:00+00:00,[],9999.0,4.63,
AGGH,010000Z,,False,SCT,,,2022-09-01 00:00:00+00:00,[],9999.0,4.63,
AGGH,010000Z,,False,SCT,,,2022-09-01 00:00:00+00:00,[],9999.0,4.63,
AYMH,010000Z,,False,HZ ,20.0,17.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}]",9999.0,2.06,1022.0
AYMH,010000Z,,False,HZ ,20.0,17.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}]",9999.0,2.06,1022.0
AYPY,010000Z,,False,HZ ,30.0,25.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 5000, 'cumulonimbus': 0}]",9999.0,3.09,1010.0
AYPY,010000Z,,False,HZ ,30.0,25.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 5000, 'cumulonimbus': 0}]",9999.0,3.09,1010.0
AYPY,010000Z,,False,HZ ,30.0,25.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 5000, 'cumulonimbus': 0}]",9999.0,3.09,1010.0
AYPY,010000Z,,False,HZ ,30.0,25.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 5000, 'cumulonimbus': 0}]",9999.0,3.09,1010.0
AYPY,010000Z,,False,HZ ,30.0,25.0,2022-09-01 00:00:00+00:00,"[{'sky_cover': 3, 'altitude_ft': 3000, 'cumulonimbus': 0}, {'sky_cover': 5, 'altitude_ft': 5000, 'cumulonimbus': 0}]",9999.0,3.09,1010.0
BGBW,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.6,
BGBW,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.6,
BGBW,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.6,
BGBW,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.6,
BGBW,312350Z,,False,FEW,,,2022-08-31 23:50:00+00:00,[],,3.6,
